From Artist,To Artist,Weight
04 Limited Sazabys,sumika,58.5
04 Limited Sazabys,go!go!vanillas,53
04 Limited Sazabys,My Hair is Bad,56
04 Limited Sazabys,Good Morning America,42.5
04 Limited Sazabys,MONOEYES,45.5
04 Limited Sazabys,BLUE ENCOUNT,57
04 Limited Sazabys,yonige,48
04 Limited Sazabys,ROTTENGRAFFTY,47
04 Limited Sazabys,Shout It Out,41
04 Limited Sazabys,Yabai T-Shirts Yasan,50.5
04 Limited Sazabys,THE ORAL CIGARETTES,60
04 Limited Sazabys,BIGMAMA,44
04 Limited Sazabys,KEYTALK,53.5
04 Limited Sazabys,SUPER BEAVER,59.5
04 Limited Sazabys,TOTALFAT,45
04 Limited Sazabys,[Alexandros],56
04 Limited Sazabys,Half time Old,42.5
04 Limited Sazabys,reGretGirl,50
04 Limited Sazabys,Mrs. GREEN APPLE,63
04 Limited Sazabys,UNISON SQUARE GARDEN,57
10-FEET,Kekai Boyz,15.5
10-FEET,Typical Hawaiians,15.5
10-FEET,Kolea,15.5
10-FEET,Pati,15.5
10-FEET,The Mana'o Company,15.5
10-FEET,Ekolu,15.5
10-FEET,Opihi Pickers,15.5
10-FEET,Sudden Rush,15.5
10-FEET,Baba B,15.5
10-FEET,Keahiwai,15.5
10-FEET,Ho'onu'a,15.5
10-FEET,Pohaku,15.5
10-FEET,nuff sedd,15.5
10-FEET,Ehukai,15.5
10-FEET,Three Plus,15.5
10-FEET,Kawao,15.5
10-FEET,Kaipo,15.5
10-FEET,Hawaiian Style Band,15.5
10-FEET,Kapena,15.5
10-FEET,Imua,15.5
14KT,Kev Brown,28
14KT,Eric Lau,10.5
14KT,J. Rawls,29
14KT,Phat Kat,10.5
14KT,Kankick,27.5
14KT,Waajeed,10.5
14KT,Elaquent,32
14KT,Illa J,10.5
14KT,Oddisee,10.5
14KT,Jneiro Jarel,10.5
14KT,Afta-1,10.5
14KT,Oh No,35
14KT,Dela,41
14KT,Strange Fruit Project,10.5
14KT,Grap Luva,10.5
14KT,Jay Dee,10.5
14KT,Nicolay,10.5
14KT,Damu The Fudgemunk,10.5
14KT,Dj Spinna,10.5
14KT,Kenn Starr,10.5
164,Last Note.,40.5
164,otetsu,20.5
164,buzzG,20.5
164,40mP,47
164,livetune,45.5
164,Kemu,37
164,iroha(sasaki),41.5
164,EasyPop,20.5
164,TOKOTOKO,20.5
164,PolyphonicBranch,20.5
164,Nayutalien,49
164,Dixie Flatline,40
164,Neru,47.5
164,koyori,20.5
164,Omoi,20.5
164,sasakure.UK,46
164,Hachioji P,46.5
164,Scop,20.5
164,OSTER project,40
164,DECO*27,53.5
19,Declan McKenna,38.5
19,The Japanese House,38.5
19,Bad Suns,38.5
19,Peach Pit,38.5
19,Wallows,38.5
19,COIN,38.5
19,The Band CAMINO,38.5
19,Hippo Campus,38.5
19,flor,38.5
19,Bleachers,38.5
19,The Hunna,38.5
19,Troye Sivan,38.5
19,joan,38.5
19,King Princess,38.5
19,Blossoms,38.5
19,Nightly,38.5
19,Christian Leave,38.5
19,Dayglow,38.5
19,HUNNY,38.5
19,lovelytheband,38.5
40mP,DECO*27,56.5
