From Artist,To Artist,Weight
Gary Bettis,Todd Dotson,65
Summer Gaskins,Edward Tijerina,76
Jean Stephens,Jennifer Player,1
Donna Brook,Mercedes Flores,13
John Nolan,Katie Cook,96
Brandy George,Philip Lehman,19
Mildred Gaston,Ryan Galloway,49
Genevieve Donnelly,Louis Knowles,80
Cynthia Mendez,Sarah Gillis,52
Teresa Steele,Doris Dennis,90
Elizabeth Flagg,Alice Whitlock,25
Jeanne Davis,Jean Ross,63
Dana Carlson,Jay Levy,91
Edward Brannon,Jared Ramirez,6
Dorothy Pooler,Christy Bradley,66
Dorothy Vario,Ronald Fink,18
Young Vann,Kyle Hart,71
William Ross,Lena Monske,59
Michele Weiss,Amanda Simmons,76
Brad Drayton,Brian Black,67
Willa Long,Jason Garza,31
Maria Smith,Ruth Rhoda,49
John Lindsley,Elaine Derry,65
Toni Strange,Tamara Smith,52
Tammy Sturgeon,Jerry Sheffer,86
Ester Kuster,John Pierre,79
Judith Garza,Marvin Boonstra,90
Gina Tucker,Walter Jackson,70
Donna Kiefer,George Ballintyn,68
Janet May,Nick Rios,10
Ricky Townsend,Ethel Thompson,15
Aracely Mcgregor,Johnathan Berry,58
Jamel Lelacheur,Barbara Prince,52
Roger Stokes,Johnathan Price,43
John Colburn,Aubrey Butler,32
Mary Huie,Kathleen Boyd,28
Aaron Murphy,Victoria Heuschkel,67
Susan Boe,Patricia Pugh,80
Nancy Mccoy,Michael Webster,47
Jess Wiles,Kay Jimenez,38
Terri Leyva,Della Miller,20
Bryce Drake,Christopher Hemenway,67
Melissa James,Clarence Castro,2
Dewayne Hildebrand,Elissa Yankey,21
Brandon Spade,Shannon Hobby,68
Clarence Yarboro,Andrew Freese,97
Jacquelyn Giraud,Linda Koehne,49
Grace Atkinson,Sylvia Moore,42
Roy Ferrer,Norma Nash,63
Enrique Hickman,Jason Sullivan,45
Gloria Pittman,Anna Herman,6
Sheryl King,Julie Weisenfluh,96
Leslie Attaway,Kathleen Wardlaw,66
Debbie Anderson,Hector Red,55
Dorothy Kearns,Geoffrey Thomas,18
Marsha Jorgensen,Brandon Harper,73
Mario Johnson,Alfredo Dent,39
Mark Duguay,Jason Wertz,45
Jamar Ruiz,Louis Gilbert,39
Julia Mcgowan,Judith Valentine,8
James Combest,Brandon Bertolino,60
Mary Paull,Brian Caserta,47
Christine Mcinnis,Alecia Mclellan,45
Vivian Howley,Amanda Mcbee,1
Larry Joshua,William Stowe,23
Bobbie Wooten,Aaron Breden,76
Pat Degasparre,Paul Cabrera,5
Joseph Felix,Nakisha Johnson,10
Carlos Tarr,Ronald Dishman,90
Darryl Grissinger,Mary Larkin,52
Johnathon Chevalier,Shaun Massaro,90
Renita Destina,Janelle Mahoney,59
Marla Harder,Michael Hatcher,85
Susan Krueger,Richard Schuelke,65
Dan Mayton,Scotty Windus,29
Darrell Riley,Theresa Colon,96
Colin Williams,Joel Huey,9
Michael Spraglin,Barry Drees,40
Ronald Hesseltine,Anthony Gay,49
Karen Balistrieri,Brittany Andrews,2
Marty Bruton,Clair Gray,19
Amada Graham,Jean Cosby,4
Christopher Todd,Mark Mayer,84
Jacqueline Malley,Chuck Cook,92
Mikaela Abe,Rick Jones,85
Alexander Lugo,Juan Rhodes,78
Doris Dean,Enrique Morris,61
Bessie Dandrea,Stephanie Terrell,43
Jon Stanley,Kelly Holst,46
Anne Gonzales,Opal Seidel,85
Judy Bradford,Linda Lytle,64
Emma Bowen,Whitney Gonzales,72
Betty Hansen,Lela Schutz,92
Edward Thomas,Jonathan Paul,59
Arnold Brewer,Patricia Bello,97
Kimberly Jankowski,Georgia Kimbrell,11
Otis Mckenny,Matthew Butler,28
Hattie Slone,Johnny Kendall,67
John Howell,Barbara Devenport,96
Ayana Hudson,Larry Granville,1
David Harrison,James Litzau,24
Daphne Pruitt,Pearl Zielinski,40
Christina Leonard,Johnie Bateman,6
Betty Needles,Sarah Vidal,10
Shawn Gleeson,Timothy Cunanan,65
Joann Hendricks,Herman Seals,10
Gary Nunley,Carol Miller,83
Brenda Hurt,Albert Wan,93
Michael Floyd,Karl Kurland,56
Giovanna Legarreta,David Polite,74
Kim Burge,Toby Jack,77
Herbert Cook,Lynne Allen,41
Diane Lentz,Ricky Pacheco,58
Carol Crist,Charles Watts,4
Milton Taylor,Damian Lester,4
Shirley Garbacz,Kathleen Bowden,20
Mary Willis,Ruth Roberrtson,86
Vanessa Peevy,Mario Taylor,77
Lesley Cambre,Jose Gendron,18
George Perna,Ronald Brooks,97
Flora Sena,Jonathan Ellis,18
Alma Rodriquez,Thomas Pigeon,72
Mattie Hannah,Patricia Lindsey,74
Kathryn Nunnenkamp,David Patel,63
