From Artist,To Artist,Weight
15,Banda Brava,53
15,Banda Movil,54
15,Los Pajaritos De Tacupa,51.5
15,La Nobleza De Aguililla,52.5
15,Banda Cana Verde,51
15,Banda La Pirinola,51.5
15,Banda Vallarta Show,53.5
15,Triny La Leyenda,50.5
15,Banda Los Lagos,48
15,Los Pajaritos De Tacupa Michoacan,46
15,Banda R-15,56
15,Banda Zirahuen,50.5
15,Grupo Libra,56.5
15,La Victoria De Mexico,49.5
15,Banda Zeta,51.5
15,Beto Y Sus Canarios,55.5
15,Paraiso Tropical,47.5
15,Raza Obrera,49
15,El Cejas y Su Banda Fuego,48.5
15,La Autoridad De La Sierra,47.5
36,Hyro The Hero,30
36,Jeris Johnson,30
36,New Medicine,30
36,From Ashes to New,30
36,Fame on Fire,30
36,The Veer Union,30
36,Point North,30
36,Self Deception,30
36,DED,30
36,Palisades,30
36,Egypt Central,30
36,Solence,30
36,KID BRUNSWICK,30
36,Adelitas Way,30
36,Rain City Drive,30
36,Arrested Youth,30
36,Fire From The Gods,30
36,Caskets,30
36,Fight The Fade,30
36,Ryan Oakes,30
A Winged Victory for the Sullen,Library Tapes,54
A Winged Victory for the Sullen,Peter Broderick,51.5
A Winged Victory for the Sullen,Christina Vantzou,44
A Winged Victory for the Sullen,Brambles,47
A Winged Victory for the Sullen,Brian McBride,45
A Winged Victory for the Sullen,Stars Of The Lid,49
A Winged Victory for the Sullen,The Dead Texan,45
A Winged Victory for the Sullen,Deaf Center,44
A Winged Victory for the Sullen,Goldmund,51
A Winged Victory for the Sullen,Eluvium,48.5
A Winged Victory for the Sullen,Rafael Anton Irisarri,43
A Winged Victory for the Sullen,Federico Albanese,52
A Winged Victory for the Sullen,Chihei Hatakeyama,48.5
A Winged Victory for the Sullen,Ryan Teague,40.5
A Winged Victory for the Sullen,Loscil,48
A Winged Victory for the Sullen,Tim Hecker,48.5
A Winged Victory for the Sullen,William Basinski,48
A Winged Victory for the Sullen,Ben Lukas Boysen,50.5
A Winged Victory for the Sullen,Slow Meadow,50.5
A Winged Victory for the Sullen,Illuminine,48.5
ARTur Moon,Nick Harkola,28
ARTur Moon,Johan Famaey,10.5
ARTur Moon,Sylvain Millepied,30.5
ARTur Moon,Laurent Ferlet,27
ARTur Moon,Jordi Forniés,34.5
ARTur Moon,Cédric Monnier,23.5
ARTur Moon,Andrei Poliakov,27
ARTur Moon,Tom Benscher,10.5
ARTur Moon,Billy Belmondo,10.5
ARTur Moon,Daniel O'Rhys,10.5
ARTur Moon,Chafa,10.5
ARTur Moon,Nathaniel Graham,23.5
ARTur Moon,Flying Circus,25.5
ARTur Moon,Pietro Borradori,10.5
ARTur Moon,Chasing Reverbs,23
ARTur Moon,Francisco Casarotti,29.5
ARTur Moon,Thomas Forschbach,10.5
ARTur Moon,Dylan John Sparkes,10.5
ARTur Moon,Prof. Lacasse,10.5
ARTur Moon,Cello Dreamers,32
Abel Korzeniowski,Dario Marianelli,29.5
Abel Korzeniowski,Rachel Portman,29.5
Abel Korzeniowski,Alexandre Desplat,29.5
Abel Korzeniowski,Gabriel Yared,29.5
Abel Korzeniowski,Jan A.P. Kaczmarek,29.5
Abel Korzeniowski,George Fenton,29.5
Abel Korzeniowski,Mychael Danna,29.5
Abel Korzeniowski,Craig Armstrong,29.5
Abel Korzeniowski,Marc Streitenfeld,29.5
Abel Korzeniowski,Anne Dudley,29.5
Abel Korzeniowski,Michael Nyman,29.5
Abel Korzeniowski,Randy Edelman,29.5
Abel Korzeniowski,Alberto Iglesias,29.5
Abel Korzeniowski,Nicola Piovani,29.5
Abel Korzeniowski,Harry Gregson-Williams,29.5
Abel Korzeniowski,Mark Isham,29.5
Abel Korzeniowski,Clint Mansell,29.5
Abel Korzeniowski,Nicholas Hooper,29.5
Abel Korzeniowski,Javier Navarrete,29.5
Abel Korzeniowski,Patrick Doyle,29.5
Adelio,North [Sic],41
Adelio,Pink Swan,41
Adelio,I TRAVEL LIGHT,42.5
Adelio,Jean Lucas,41
Adelio,Zeevonk,39.5
Adelio,YARA,46
Adelio,Myllèrí,38.5
Adelio,Yonder,44.5
Adelio,15,47
Adelio,Adrian Kuipers,45.5
Adelio,Sacha Hoedemaker,45
Adelio,Jacco Wynia,43
Adelio,DeLange,44.5
Adelio,GUIDO,41.5
Adelio,Tom Van de Venne,39.5
Adelio,Carlos Cipa,49
Adelio,Stefan Truyman,41
Adelio,Matteo Myderwyk,46
Adelio,Nolan Khan,48
Adelio,Out Of The Woods,39
Adrian Kuipers,I TRAVEL LIGHT,47
Adrian Kuipers,Adelio,45.5
Adrian Kuipers,YARA,50.5
Adrian Kuipers,Jean Lucas,45.5
Adrian Kuipers,Pink Swan,45.5
Adrian Kuipers,North [Sic],45.5
Adrian Kuipers,15,51.5
Adrian Kuipers,Sacha Hoedemaker,49.5
Adrian Kuipers,Jacco Wynia,47.5
Adrian Kuipers,Yonder,49
Adrian Kuipers,Zeevonk,44
Adrian Kuipers,DeLange,49
Adrian Kuipers,Myllèrí,43
Adrian Kuipers,Carlos Cipa,53.5
Adrian Kuipers,Matteo Myderwyk,50.5
Adrian Kuipers,GUIDO,46
Adrian Kuipers,Tom Van de Venne,44
Adrian Kuipers,Dalal,48
Adrian Kuipers,Stefan Truyman,45.5
Adrian Kuipers,Maxence Cyrin,53.5
Adrien de la Salle,Becky Ainge,44.5
Adrien de la Salle,ThePianoPlayer,41.5
Adrien de la Salle,Bart Sunshine,46.5
Adrien de la Salle,Eric Wilhelm,21.5
Adrien de la Salle,Sarah Watson,21.5
Adrien de la Salle,Holly Jones,47.5
Adrien de la Salle,On Piano,50.5
Adrien de la Salle,Virginio Aiello,48
Adrien de la Salle,SØLYS,21.5
Adrien de la Salle,Tom Merrall,21.5
Adrien de la Salle,Rich Batsford,21.5
Adrien de la Salle,MettaForm,21.5
