From Artist,To Artist,Weight
(G)I-DLE,Hwa Sa,38.5
(G)I-DLE,Weki Meki,38.5
(G)I-DLE,LOONA,38.5
(G)I-DLE,JEON SOYEON,38.5
(G)I-DLE,MAMAMOO,38.5
(G)I-DLE,WJSN,38.5
(G)I-DLE,LOOΠΔ / ODD EYE CIRCLE,38.5
(G)I-DLE,TWICE,38.5
(G)I-DLE,fromis_9,38.5
(G)I-DLE,MOMOLAND,38.5
(G)I-DLE,I.O.I,38.5
(G)I-DLE,Solar,38.5
(G)I-DLE,PRISTIN V,38.5
(G)I-DLE,OH MY GIRL,38.5
(G)I-DLE,Moon Byul,38.5
(G)I-DLE,CLC,38.5
(G)I-DLE,Hyolyn,70.0
(G)I-DLE,EXID,69.5
(G)I-DLE,Red Velvet,81.0
(G)I-DLE,Whee In,38.5
1TYM,JINUSEAN,32.5
1TYM,Click-B,29.5
1TYM,Fin.K.L,34.0
1TYM,SE7EN,36.5
1TYM,H.O.T.,36.5
1TYM,YG Family,25.0
1TYM,Steve Yoo,27.5
1TYM,DJ DOC,35.0
1TYM,SECHSKIES,37.5
1TYM,Drunken Tiger,33.0
1TYM,DEUX,14.5
1TYM,JTL,27.5
1TYM,Realslow,14.5
1TYM,Roo'RA,14.5
1TYM,Baby VOX,14.5
1TYM,IVY,14.5
1TYM,Un,59.0
1TYM,god,14.5
1TYM,KOYOTE,30.5
1TYM,Seo Taiji and Boys,14.5
2 AM,Your Neighbors,21.0
2 AM,The Hails,21.0
2 AM,Besphrenz,21.0
2 AM,Ax and the Hatchetmen,21.0
2 AM,the moss,21.0
2 AM,Arlie,21.0
2 AM,Sarah and the Sundays,21.0
2 AM,The Polar Boys,21.0
2 AM,Bennett Coast,21.0
2 AM,Blue Rain Boots,21.0
2 AM,Phoneboy,21.0
2 AM,Grady,21.0
2 AM,Tommy Newport,21.0
2 AM,French Cassettes,21.0
2 AM,Conan Gentil,21.0
2 AM,Baltazar Lora,21.0
2 AM,Sun Room,21.0
2 AM,Vista Kicks,21.0
2 AM,The Grinns,21.0
2 AM,Breakup Shoes,21.0
2 LIVE CREW,Sir Mix-A-Lot,55.0
2 LIVE CREW,Digital Underground,56.0
2 LIVE CREW,ICE-T,56.5
2 LIVE CREW,Kool Moe Dee,54.0
2 LIVE CREW,Whodini,49.5
2 LIVE CREW,MC Hammer,57.0
2 LIVE CREW,Tone-Loc,52.0
2 LIVE CREW,Boogie Down Productions,49.0
2 LIVE CREW,Fat Boys,46.5
2 LIVE CREW,Run–D.M.C.,60.0
2 LIVE CREW,Poison Clan,41.5
2 LIVE CREW,DJ Magic Mike,44.5
2 LIVE CREW,Gucci Crew II,43.0
2 LIVE CREW,The D.O.C.,50.0
2 LIVE CREW,DJ Jazzy Jeff & The Fresh Prince,55.0
2 LIVE CREW,Heavy D & The Boyz,52.5
2 LIVE CREW,69 Boyz,47.5
2 LIVE CREW,Kris Kross,53.5
2 LIVE CREW,Big Daddy Kane,54.5
2 LIVE CREW,Rob Base & DJ EZ Rock,52.0
2NE1,f(x),60.0
2NE1,miss A,57.5
2NE1,G-DRAGON,64.0
2NE1,G.NA,53.5
2NE1,4Minute,59.5
2NE1,Girl's Day,57.0
2NE1,Brown Eyed Girls,55.5
2NE1,TEEN TOP,55.0
2NE1,MBLAQ,53.5
2NE1,SISTAR,60.0
2NE1,KARA,67.0
2NE1,T-ARA,59.5
2NE1,Wonder Girls,58.5
2NE1,After School,55.5
2NE1,GD&TOP,55.0
2NE1,Orange Caramel,54.0
2NE1,Secret,63.0
2NE1,Beast,67.5
2NE1,Dalshabet,50.0
2NE1,Jay Park,68.0
2PM,MBLAQ,53.5
2PM,SHINee,65.0
2PM,SUPER JUNIOR,63.5
2PM,TEEN TOP,55.0
2PM,G-DRAGON,63.0
2PM,TVXQ!,59.5
2PM,CNBLUE,58.0
2PM,FTISLAND,57.0
2PM,Beast,65.5
2PM,f(x),59.0
2PM,2NE1,61.0
2PM,U-KISS,54.0
2PM,SS501,58.0
2PM,G.NA,52.5
2PM,miss A,55.5
2PM,B1A4,56.0
2PM,GD&TOP,54.0
2PM,2am,48.0
2PM,Wonder Girls,57.5
2PM,SEUNGRI,60.0
2am,Hoodie Allen,49.5
2am,The Dean's List,35.0
2am,Chiddy Bang,47.0
2am,Shwayze,47.5
2am,Sammy Adams,47.5
2am,Radical Something,37.5
2am,Outasight,40.5
2am,Moosh & Twist,40.5
2am,Huey Mack,40.5
2am,Skizzy Mars,48.5
2am,Luke Christopher,46.0
2am,Cam Meekins,44.0
2am,Aer,58.0
2am,Jules Larson,34.0
2am,Mike Posner,56.0
2am,YONAS,43.0
2am,Jake Miller,50.5
2am,Marc E. Bassy,53.5
2am,Katie Herzig,42.5
2am,TYLERxCORDY,39.0
2gaudy,Brandon ThaKidd,48.5
2gaudy,Jbrisko,50.0
2gaudy,Blaine,47.5
2gaudy,Curly J,50.0
2gaudy,404vincent,49.0
2gaudy,Kevin Powers,49.5
2gaudy,Thekidszn,53.0
2gaudy,BrxkenBxy,51.0
2gaudy,Lil Shock,47.5
2gaudy,Godwin,24.0
2gaudy,Tommy Ice,24.0
2gaudy,Bri-C,54.0
2gaudy,Lil Story,24.0
2gaudy,Rozei,24.0
2gaudy,Dustystaytrue,54.5
2gaudy,Badda TD,24.0
2gaudy,6o,49.5
2gaudy,Billy Bueffer,50.5
2gaudy,Lxst,57.5
2gaudy,Unodavid,51.0
2xxx,millic,38.0
2xxx,PENOMECO,50.5
2xxx,jeebanoff,45.5
2xxx,Hash Swan,44.5
2xxx,Sik-K,53.5
2xxx,WOOGIE,42.5
2xxx,Kid Milli,48.0
2xxx,Swings,44.0
2xxx,Samuel Seo,20.0
2xxx,Colde,51.0
2xxx,NO:EL,44.0
2xxx,Jooyoung,47.5
2xxx,"Car, the garden",20.0
2xxx,Hoody,51.0
